district,status,zone
Ghazipur,MISSING,NEEDS_MAPPING
Giridih,MISSING,NEEDS_MAPPING
Goalpara,MISSING,NEEDS_MAPPING
Godda,MISSING,NEEDS_MAPPING
Golaghat,MISSING,NEEDS_MAPPING
Gonda,MISSING,NEEDS_MAPPING
Gondiya,MISSING,NEEDS_MAPPING
Gopalganj,MISSING,NEEDS_MAPPING
Gorakhpur,MISSING,NEEDS_MAPPING
Gulbarga,MISSING,NEEDS_MAPPING
Gumla,MISSING,NEEDS_MAPPING
Guna,MISSING,NEEDS_MAPPING
Guntur,MISSING,NEEDS_MAPPING
Gurdaspur,MISSING,NEEDS_MAPPING
Gurgaon,MISSING,NEEDS_MAPPING
Gwalior,MISSING,NEEDS_MAPPING
Hailakandi,MISSING,NEEDS_MAPPING
Hamirpur,MISSING,NEEDS_MAPPING
Hanumangarh,MISSING,NEEDS_MAPPING
Haora,MISSING,NEEDS_MAPPING
Harda,MISSING,NEEDS_MAPPING
Hardoi,MISSING,NEEDS_MAPPING
Hardwar,MISSING,NEEDS_MAPPING
Hassan,MATCH,SOUTHERN TRANSITION
Haveri,MISSING,NEEDS_MAPPING
Hazaribagh,MISSING,NEEDS_MAPPING
Hingoli,MISSING,NEEDS_MAPPING
Hisar,MISSING,NEEDS_MAPPING
Hoshangabad,MISSING,NEEDS_MAPPING
Hoshiarpur,MISSING,NEEDS_MAPPING
Hugli,MISSING,NEEDS_MAPPING
Hyderabad,MISSING,NEEDS_MAPPING
Idukki,MISSING,NEEDS_MAPPING
Imphal East,MISSING,NEEDS_MAPPING
Imphal West,MISSING,NEEDS_MAPPING
Indore,MISSING,NEEDS_MAPPING
Jabalpur,MISSING,NEEDS_MAPPING
Jagatsinghapur,MISSING,NEEDS_MAPPING
Jaintia Hills,MISSING,NEEDS_MAPPING
Jaipur,MISSING,NEEDS_MAPPING
Jaisalmer,MISSING,NEEDS_MAPPING
Jajapur,MISSING,NEEDS_MAPPING
Jalandhar,MISSING,NEEDS_MAPPING
Jalaun,MISSING,NEEDS_MAPPING
Jalgaon,MISSING,NEEDS_MAPPING
Jalna,MISSING,NEEDS_MAPPING
Jalor,MISSING,NEEDS_MAPPING
Jalpaiguri,MISSING,NEEDS_MAPPING
Jammu,MISSING,NEEDS_MAPPING
Jamnagar,MISSING,NEEDS_MAPPING
Jamtara,MISSING,NEEDS_MAPPING
Jamui,MISSING,NEEDS_MAPPING
Janjgir-champa,MISSING,NEEDS_MAPPING
Jashpur,MISSING,NEEDS_MAPPING
