Vachellia nilotica
Lower Threshold: 0.0054,     	Prevalence: 0.013734939759036145 (57 / 4150)
Lower Threshold: 0.0055,     	Prevalence: 0.020705521472392636 (54 / 2608)
Lower Threshold: 0.0056,     	Prevalence: 0.02815934065934066 (41 / 1456)
Lower Threshold: 0.0057,     	Prevalence: 0.044444444444444446 (32 / 720)
Lower Threshold: 0.0058,     	Prevalence: 0.03663003663003663 (10 / 273)
Lower Threshold: 0.0059,     	Prevalence: 0.0 (0 / 57)
Lower Threshold: 0.006,     	Prevalence: 0.0 (0 / 4)

Pongamia pinnata
Lower Threshold: 0,     	Prevalence: 0.006318207926479035 (44 / 6964)
Lower Threshold: 0.0053,     	Prevalence: 0.009107845166632168 (44 / 4831)
Lower Threshold: 0.0054,     	Prevalence: 0.01776988005330964 (40 / 2251)
Lower Threshold: 0.0055,     	Prevalence: 0.05673758865248227 (40 / 705)
Lower Threshold: 0.0056,     	Prevalence: 0.21084337349397592 (35 / 166)
Lower Threshold: 0.0057,     	Prevalence: 0.4074074074074074 (11 / 27)
Lower Threshold: 0.0058,     	Prevalence: 0.6666666666666666 (2 / 3)

Moringa oleifera
Lower Threshold: 0,     	Prevalence: 0.004882251579551982 (34 / 6964)
Lower Threshold: 0.0053,     	Prevalence: 0.005171102661596958 (34 / 6575)
Lower Threshold: 0.0054,     	Prevalence: 0.005648720211827008 (32 / 5665)
Lower Threshold: 0.0055,     	Prevalence: 0.00801924619085806 (30 / 3741)
Lower Threshold: 0.0056,     	Prevalence: 0.014904187366926898 (21 / 1409)
Lower Threshold: 0.0057,     	Prevalence: 0.035256410256410256 (11 / 312)
Lower Threshold: 0.0058,     	Prevalence: 0.11363636363636363 (5 / 44)
Lower Threshold: 0.0059,     	Prevalence: 0.0 (0 / 1)

Acalypha fruticosa
Lower Threshold: 0,     	Prevalence: 0.00215393452039058 (15 / 6964)
Lower Threshold: 0.0053,     	Prevalence: 0.000946521533364884 (2 / 2113)
Lower Threshold: 0.0054,     	Prevalence: 0.0009652509652509653 (1 / 1036)
Lower Threshold: 0.0055,     	Prevalence: 0.0 (0 / 363)
Lower Threshold: 0.0056,     	Prevalence: 0.0 (0 / 69)
Lower Threshold: 0.0057,     	Prevalence: 0.0 (0 / 4)

Albizia procera
Lower Threshold: 0,     	Prevalence: 0.002010338885697875 (14 / 6964)
Lower Threshold: 0.0053,     	Prevalence: 0.002150868028883085 (14 / 6509)
Lower Threshold: 0.0054,     	Prevalence: 0.0025983667409057165 (14 / 5388)
Lower Threshold: 0.0055,     	Prevalence: 0.0033358994098024123 (13 / 3897)
Lower Threshold: 0.0056,     	Prevalence: 0.00578806767586821 (13 / 2246)
Lower Threshold: 0.0057,     	Prevalence: 0.012671594508975714 (12 / 947)
Lower Threshold: 0.0058,     	Prevalence: 0.02147239263803681 (7 / 326)
Lower Threshold: 0.0059,     	Prevalence: 0.07142857142857142 (4 / 56)
Lower Threshold: 0.006,     	Prevalence: 0.0 (0 / 6)

Eucalyptus tereticornis
Lower Threshold: 0,     	Prevalence: 0.0015795519816197588 (11 / 6964)
Lower Threshold: 0.0053,     	Prevalence: 0.08181818181818182 (9 / 110)
Lower Threshold: 0.0054,     	Prevalence: 0.4 (8 / 20)
Lower Threshold: 0.0055,     	Prevalence: 0.5454545454545454 (6 / 11)
Lower Threshold: 0.0056,     	Prevalence: 1.0 (3 / 3)

Albizia lebbeck
Lower Threshold: 0,     	Prevalence: 0.0014359563469270534 (10 / 6964)
Lower Threshold: 0.0053,     	Prevalence: 0.0014654161781946073 (10 / 6824)
Lower Threshold: 0.0054,     	Prevalence: 0.0016181229773462784 (10 / 6180)
Lower Threshold: 0.0055,     	Prevalence: 0.001986754966887417 (9 / 4530)
Lower Threshold: 0.0056,     	Prevalence: 0.0028328611898017 (7 / 2471)
Lower Threshold: 0.0057,     	Prevalence: 0.007306889352818371 (7 / 958)
Lower Threshold: 0.0058,     	Prevalence: 0.0149812734082397 (4 / 267)
Lower Threshold: 0.0059,     	Prevalence: 0.043478260869565216 (2 / 46)
Lower Threshold: 0.006,     	Prevalence: 0.0 (0 / 9)

Ziziphus mauritiana
Lower Threshold: 0,     	Prevalence: 0.0014359563469270534 (10 / 6964)
Lower Threshold: 0.0053,     	Prevalence: 0.001823819077147547 (10 / 5483)
Lower Threshold: 0.0054,     	Prevalence: 0.0024888003982080635 (10 / 4018)
Lower Threshold: 0.0055,     	Prevalence: 0.003369839932603201 (8 / 2374)
Lower Threshold: 0.0056,     	Prevalence: 0.006463527239150508 (7 / 1083)
Lower Threshold: 0.0057,     	Prevalence: 0.012698412698412698 (4 / 315)
Lower Threshold: 0.0058,     	Prevalence: 0.0 (0 / 63)
Lower Threshold: 0.0059,     	Prevalence: 0.0 (0 / 4)

Cordia myxa
Lower Threshold: 0,     	Prevalence: 0.00043078690407811603 (3 / 6964)
Lower Threshold: 0.0053,     	Prevalence: 0.0 (0 / 68)
Lower Threshold: 0.0054,     	Prevalence: 0.0 (0 / 3)

Phyllanthus emblica
Lower Threshold: 0,     	Prevalence: 0.00043078690407811603 (3 / 6964)
Lower Threshold: 0.0053,     	Prevalence: 0.00044483985765124553 (3 / 6744)
Lower Threshold: 0.0054,     	Prevalence: 0.000481000481000481 (3 / 6237)
